00001   28.56  0.15 K105D 359.37488  146.32355   82.70211    1.42628  0.2050960  0.71260677   1.2413743    FO 111005     9  **   46 min  1.50 *** **  Find_Orb   **** Hayabusa [1]                20100613
00002   28.55  0.15 K105D 359.08030  146.65861   82.65085    1.49346  0.2180535  0.69623014   1.2607651    FO 111005     9  **   46 min  1.46 *** **  Find_Orb   **** Hayabusa [2]                20100613
00003   28.74  0.15 K105D 359.34871  146.43080   82.71623    1.35204  0.2003874  0.71811136   1.2350225    FO 111005     9  **   46 min  1.43 *** **  Find_Orb   **** Hayabusa [3]                20100613
00004   28.64  0.15 K105D 359.33377  146.40774   82.70351    1.39883  0.2039950  0.71377942   1.2400143    FO 111005     9  **   46 min  1.49 *** **  Find_Orb   **** Hayabusa [4]                20100613
00005   28.49  0.15 K105D 359.39197  146.27402   82.69767    1.45535  0.2066297  0.71084627   1.2434231    FO 111005     9  **   46 min  1.16 *** **  Find_Orb   **** Hayabusa [5]                20100613
00006   28.49  0.15 K105D   0.13733  145.42678   82.82086    1.33118  0.1812573  0.74323794   1.2070283    FO 111005     9  **   46 min  1.56 *** **  Find_Orb   **** Hayabusa [6]                20100613
00007   28.58  0.15 K105D 358.62266  147.21119   82.57373    1.59282  0.2410496  0.66726821   1.2969874    FO 111005     9  **   46 min  1.59 *** **  Find_Orb   **** Hayabusa [7]                20100613
00008   28.52  0.15 K105D 359.29851  146.39329   82.68531    1.46038  0.2095067  0.70712072   1.2477867    FO 111005     9  **   46 min  1.07 *** **  Find_Orb   **** Hayabusa [8]                20100613
00009   28.49  0.15 K105D 358.55003  147.25874   82.55675    1.65703  0.2490325  0.65752885   1.3097634    FO 111005     9  **   46 min  1.30 *** **  Find_Orb   **** Hayabusa [9]                20100613
00010   28.62  0.15 K105D 359.03644  146.74360   82.65001    1.46946  0.2174157  0.69683499   1.2600354    FO 111005     9  **   46 min  1.61 *** **  Find_Orb   **** Hayabusa [10]               20100613
00011   28.64  0.15 K105D 359.18283  146.58158   82.67741    1.42769  0.2102573  0.70583773   1.2492983    FO 111005     9  **   46 min  1.44 *** **  Find_Orb   **** Hayabusa [11]               20100613
00012   28.48  0.15 K105D 359.29731  146.37588   82.68059    1.48258  0.2109675  0.70538667   1.2498308    FO 111005     9  **   46 min  1.47 *** **  Find_Orb   **** Hayabusa [12]               20100613
00013   28.58  0.15 K105D 358.72833  147.08474   82.59288    1.56325  0.2348585  0.67501382   1.2870466    FO 111005     9  **   46 min  1.57 *** **  Find_Orb   **** Hayabusa [13]               20100613
00014   28.56  0.15 K105D 358.99603  146.76211   82.63769    1.50637  0.2215812  0.69174647   1.2662071    FO 111005     9  **   46 min  1.79 *** **  Find_Orb   **** Hayabusa [14]               20100613
00015   28.50  0.15 K105D 359.05543  146.66584   82.64271    1.52029  0.2208844  0.69278394   1.2649427    FO 111005     9  **   46 min  1.49 *** **  Find_Orb   **** Hayabusa [15]               20100613
00016   28.54  0.15 K105D 358.71362  147.08334   82.58724    1.58817  0.2373108  0.67205049   1.2908272    FO 111005     9  **   46 min  1.15 *** **  Find_Orb   **** Hayabusa [16]               20100613
00017   28.61  0.15 K105D 358.42608  147.46680   82.54098    1.63386  0.2521788  0.65330366   1.3154045    FO 111005     9  **   46 min  1.86 *** **  Find_Orb   **** Hayabusa [17]               20100613
